出金,,,,,,,,,,,,,,,,,入金,,,,,,,,,,,,,,,,,
2026,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,,,,,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,,,,,
1日,0,0,0,-30000,0,0,0,0,0,0,0,0,,,,,1日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2日,0,0,0,0,-50000,0,0,0,0,0,0,0,,,,,2日,0,0,0,0,0,0,0,0,0,0,0,0,,,,入金合計,799752
3日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4日,0,0,0,0,-2970,0,0,0,0,0,0,0,,,,,4日,0,0,0,0,0,0,0,0,0,0,0,0,,,,出金合計,"-374,822"
5日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
6日,0,0,0,0,-2112,-20220,0,0,0,0,0,0,,,,,6日,0,0,0,0,0,0,0,0,0,0,0,0,,,,残高,"424,930"
7日,0,0,0,0,-54170,0,0,0,0,0,0,0,,,,,7日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
8日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
9日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
10日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
11日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,11日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
12日,0,0,0,0,0,-20220,0,0,0,0,0,0,,,,,12日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
13日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,13日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14日,0,0,0,0,-43247,0,0,0,0,0,0,0,,,,,14日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
15日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,15日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
16日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,16日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
17日,0,0,0,0,0,-21220,0,0,0,0,0,0,,,,,17日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
18日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,18日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
19日,0,0,0,0,0,-20110,0,0,0,0,0,0,,,,,19日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
20日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,20日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
21日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,21日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
22日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,22日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
23日,0,0,0,0,0,-455,0,0,0,0,0,0,,,,,23日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
24日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,24日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
25日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25日,0,0,0,"387,405","202,947","209,400",0,0,0,0,0,0,,,,,
26日,0,0,0,0,-2198,0,0,0,0,0,0,0,,,,,26日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
27日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,27日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
28日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28日,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
29日,0,,0,0,0,0,0,0,0,0,0,0,,,,,29日,0,,0,0,0,0,0,0,0,0,0,0,,,,,
30日,0,,0,0,0,-53950,0,0,0,0,0,0,,,,,30日,0,,0,0,0,0,0,0,0,0,0,0,,,,,
31日,0,,0,,-53950,,0,0,,0,,0,,,,,31日,0,,0,,0,,0,0,,0,,0,,,,,
合計,0,0,0,"-30,000","-208,647","-136,175",0,0,0,0,0,0,,,,,合計,0,0,0,"387,405","202,947","209,400",0,0,0,0,0,0,,,,,
